item_id,date_purchased,categories,description,image,qty_on_hand,upc,sku,store_number,ownership,item_cost
129579405,2024-10-29 12:00:00,"Bracelets","10ky 4-Row Rope 7"" Bracelet 6.6g E91759",,,"828636",34606,true,
136476535,2025-04-09 12:00:00,"Rings,Ring","14K Yellow 2 mm Half Round Light Band Size 7","Stuller/68847340.jpg",1,133172,"958083",34606,true,
136476574,2025-04-09 12:00:00,"Chains,Chain","Sterling Silver 1 mm Wheat 20"" Chain","Stuller/101016883.jpg",1,3015295,"751624",34606,true,
136476641,2025-04-09 12:00:00,"Chains,Chain","Sterling Silver 1 mm Rope 20"" Chain","Stuller/38689894.jpg",1,9987019,"909916",34606,true,
136476699,2025-04-09 12:00:00,,"Rhodium-Plated Sterling Silver 1.05 mm Diamond-Cut Wheat 20"" Chain","Stuller/99086415.jpg",1,21291134,"975749",34606,true,
136476762,2025-04-09 12:00:00,"Chains,Chain","14K Yellow Gold-Filled 2.4 mm Wheat 18"" Chain","Stuller/58752518.jpg",1,22008443,"744068",34606,true,
136476781,2025-04-09 10:48:12,"Chains,Chain","14K Yellow Gold-Filled 1 mm Rope 16"" Chain","Stuller/6520896.jpg",,13550616,"751146",34606,true,
136476889,2025-04-09 12:00:00,"Chains,Chain","Sterling Silver 2mm Elongated Open Link Chain ","Quality_Gold/QFC156.jpg",1,886774421209,"214533",34606,true,10.41
136476984,2025-04-09 10:55:03,"Pendants,Pendant","14k 14K GOLD Pendant ","Quality_Gold/K9753.jpg",,196904088920,"325647",34606,true,59.77
136477041,2025-04-09 12:00:00,"Earrings,Earrings","Sterling Silver 2mm Diamond Cut Hoop Earrings ","Quality_Gold/QE4462SP.jpg",1,,"278668",34606,true,11.68
136477706,2025-04-09 12:00:00,"Earrings,Earrings","Ruby J Hoop earring 14ky 4.2gr N9989","13331/Ruby_J_hoop.jpg",1,,"248647",34606,true,
136479799,2025-04-09 12:00:00,"Misc","Cuff Link Chisel SRC101 St St Carbon fiber inlay","13331/Chisel_Cuff_links.jpg",1,,"851881",34606,true, 
